"pregion","dollar_per_kw","geo_rsc_mw"
"p12",22501.9342837872,54113.5693196964
"p12",23350.8379933315,62314.8998938825
"p12",26715.8982854867,387.97528857481
"p12",27770.8107807832,15041.5110692035
"p12",27991.2894077498,238.136380754092
"p12",30062.6970147449,14737.5064059113
"p12",30676.7487938659,10862.4998844687
"p12",35311.5605888182,95429.8307983651
"p12",39003.902179088,11298.0617720359
"p120",33602.7411826441,759.263672625156
"p120",35124.9031535329,759.263672625156
"p120",39570.6354559266,1281.86810319859
"p120",46402.1530989227,1128.80922520473
"p121",26462.5645115026,1278.17109234809
"p121",33602.7411826441,744.341123251051
"p121",36276.096267792,1278.17109234809
"p121",39570.6354559266,744.341123251051
"p121",43575.2775875602,1005.49459264717
"p121",70988.6211709944,1699.93361244939
"p122",29792.1660866185,8582.79647070483
"p122",29974.7086594416,1427.28159087369
"p122",31397.4856276848,5652.79563694135
"p122",33602.7411826441,7475.7322974234
"p122",34220.8807598846,1256.85990838131
"p122",34466.1434073301,1845.15879561733
"p122",35124.9031535329,18820.3729944316
"p122",36276.096267792,5718.05170471953
"p122",38682.6087325057,5380.78742686532
"p122",39570.6354559266,8688.59570708025
"p122",41264.1789728678,6058.3937404028
"p122",43575.2775875602,5119.41632745425
"p122",46402.1530989227,12111.5385776687
"p122",52804.3988744404,10476.9010008278
"p122",54940.7896622694,8324.23529928393
"p122",59579.1238157546,2526.49281254375
"p122",70988.6211709944,8593.81682273526
"p123",26462.5645115026,1323.04178381957
"p123",29792.1660866185,2340.05003308452
"p123",31397.4856276848,1883.57061333162
"p123",35124.9031535329,4152.70097469024
"p123",39570.6354559266,4870.44162621312
"p123",46402.1530989227,2037.16435416248
"p123",54940.7896622694,2801.09673985684
"p123",59579.1238157546,4110.29685676509
"p124",26462.5645115026,1084.22302693263
"p124",31397.4856276848,1755.05062106896
"p125",35124.9031535329,985.800917982731
"p125",39570.6354559266,1674.24037243458
"p125",59579.1238157546,1474.33107423344
"p125",70988.6211709944,684.501494149165
"p126",54940.7896622694,4062.88745977109
"p126",59579.1238157546,2007.1226996095
"p126",70988.6211709944,7507.08751611851
"p127",29792.1660866185,851.238124203107
"p127",31397.4856276848,1639.29485621304
"p127",33602.7411826441,3903.57554569188
"p127",35124.9031535329,13873.7612045213
"p127",36276.096267792,1750.09546244432
"p127",38682.6087325057,8421.76993558898
"p127",39570.6354559266,19466.3639600247
"p127",41264.1789728678,2399.99494692457
"p127",43575.2775875602,749.59775116393
"p127",45635.8770932137,3256.85700179707
"p127",46402.1530989227,10741.3138285471
"p127",52804.3988744404,5355.24746960624
"p127",54940.7896622694,19835.4033522213
"p127",59579.1238157546,16194.6650505601
"p127",70988.6211709944,5587.69338814606
"p128",70988.6211709944,2182.43424140156
"p129",35124.9031535329,1084.91006584467
"p129",45635.8770932137,469.26103125136
"p129",46402.1530989227,955.368565445308
"p129",54940.7896622694,3653.12282982609
"p129",70988.6211709944,1965.65553589317
"p13",15135.6621050405,12147.5935654957
"p13",15841.5176804637,12807.7888679683
"p13",16216.6565071475,11355.3592025286
"p13",19855.4437353446,8846.61705313277
"p13",20201.2858900121,9902.92953708892
"p13",27770.8107807832,15580.6091383532
"p130",29792.1660866185,1531.47703620253
"p130",29974.7086594416,4066.90778387162
"p130",31397.4856276848,5815.86646244053
"p130",33602.7411826441,1656.95974459386
"p130",35124.9031535329,4391.24145345174
"p130",36276.096267792,1854.80568424685
"p130",38682.6087325057,1112.93295543842
"p130",39570.6354559266,3828.76922860059
"p130",41264.1789728678,3034.85324263311
"p130",43575.2775875602,1459.11380494086
"p130",46402.1530989227,5718.03596072214
"p130",52804.3988744404,5203.07416970968
"p130",59579.1238157546,1104.34112776658
"p131",33602.7411826441,3966.34148250347
"p131",35124.9031535329,7252.60290232878
"p131",38682.6087325057,900.189808021577
"p131",39570.6354559266,6746.63662120852
"p131",46402.1530989227,2425.8922177036
"p131",52804.3988744404,8185.71174060698
"p131",59579.1238157546,4143.73267946499
"p132",39570.6354559266,8636.79451371447
"p132",59579.1238157546,2591.39908438218
"p133",33602.7411826441,243.865279692389
"p133",38682.6087325057,267.98419022541
"p133",39570.6354559266,1898.00760737903
"p133",52804.3988744404,214.747037341059
"p134",29792.1660866185,14765.4820274494
"p134",31397.4856276848,30766.3694271174
"p134",33602.7411826441,24869.1257752336
"p134",35124.9031535329,23611.4365217947
"p134",36276.096267792,6461.78571652155
"p134",38682.6087325057,1558.25132188624
"p134",41264.1789728678,8186.80398009099
"p134",43575.2775875602,1165.26512718477
"p134",46402.1530989227,13617.9405915215
"p134",52804.3988744404,39264.2171009621
"p14",17465.0594027004,6584.77990659112
"p14",17756.3237655923,11764.6102932429
"p14",18872.8887883071,4130.28124295574
"p14",18945.9029233104,1941.60115144809
"p14",19453.8855852265,2456.22709789337
"p14",19731.6205770786,3549.2185997854
"p14",20731.4618909943,5963.75414517844
"p14",22188.7328871935,9381.39799101212
"p14",22238.2499344693,2456.22709789337
"p14",25597.4133773693,7215.25139699226
"p14",25774.6747488849,2585.23330107825
"p14",30676.7487938659,6322.85503506309
"p14",39003.902179088,1285.37471424694
"p15",12594.4556808885,2201.66304041713
"p15",12881.9841507155,3457.06947179856
"p15",13353.8842752697,2210.50667551036
"p15",13836.4855997893,19395.2212962672
"p15",14100.6878591239,19402.3099141299
"p15",14201.4852296955,5253.38394348367
"p15",14922.0389200649,3639.65208220215
"p15",14960.2364035834,1070.73363598493
"p15",14996.144345048,10916.0252636492
"p15",15135.6621050405,13028.6983622207
"p15",15841.5176804637,27319.1813344407
"p15",16216.6565071475,6268.48959448825
"p15",16226.7837256534,19239.3274982328
"p15",16750.1328152943,5502.05296614938
"p15",17221.8214234768,1115.94637252984
"p15",17242.5907850676,18055.8856050262
"p15",17465.0594027004,5766.82159234528
"p15",17581.9726739368,8648.70797182087
"p15",17756.3237655923,10816.0522124775
"p15",17781.0168917904,7691.01605914006
"p15",18872.8887883071,1108.3086269746
"p15",18945.9029233104,3916.30702869192
"p15",19453.8855852265,6591.83233989901
"p15",19855.4437353446,7960.12061296706
"p15",20201.2858900121,6013.87648339173
"p15",20385.8300308618,28145.2165455113
"p15",20731.4618909943,905.13532783313
"p15",21650.633456713,961.00787893394
"p15",22188.7328871935,3858.21421050109
"p15",22238.2499344693,4628.19830621942
"p15",22501.9342837872,5665.23801006649
"p15",23350.8379933315,3583.20977681891
"p15",23438.8061887125,838.088266512157
"p15",25062.6163102187,748.69218475086
"p15",25597.4133773693,3415.38403664993
"p15",25774.6747488849,1061.58666809318
"p15",27770.8107807832,6123.59530282893
"p15",30676.7487938659,5266.0314416307
"p15",35311.5605888182,15147.5693261924
"p15",39003.902179088,659.296102989563
"p16",10263.2425151154,3994.01106152264
"p16",11220.0359688127,6249.5731234967
"p16",11860.8806680186,1242.97985242387
"p16",12059.9185230693,3994.01106152264
"p16",12594.4556808885,5816.78155194491
"p16",12699.2247687404,6886.1037194084
"p16",12875.0324912057,4147.87684540911
"p16",12881.9841507155,9598.25564975995
"p16",13353.8842752697,4260.37685922044
"p16",14100.6878591239,3373.2033296229
"p16",14200.1065063495,9952.47399915432
"p16",14201.4852296955,12843.6277118362
"p16",14922.0389200649,10661.0141599916
"p16",14996.144345048,14082.1822527628
"p16",15135.6621050405,8024.57151193565
"p16",15627.2091989684,922.632742761468
"p16",15841.5176804637,7494.19472348304
"p16",16216.6565071475,7974.30798542926
"p16",16750.1328152943,5592.59984611812
"p16",17221.8214234768,4339.9813357616
"p16",17242.5907850676,10034.776693508
"p16",17465.0594027004,3571.45943783969
"p16",17581.9726739368,10311.7648516549
"p16",17781.0168917904,5320.05388079971
"p16",17902.0736332769,5817.36393743515
"p16",19453.8855852265,1874.15446879498
"p16",19855.4437353446,10839.0815443666
"p16",20201.2858900121,8137.50134762052
"p16",22501.9342837872,5136.93840927344
"p16",23350.8379933315,15020.7700500688
"p16",27770.8107807832,23806.264676101
"p16",35311.5605888182,1902.99430746747
"p17",15135.6621050405,4342.91329247882
"p17",15841.5176804637,4578.94118880919
"p17",16216.6565071475,17032.2778157885
"p17",16226.7837256534,7516.38522423629
"p17",16750.1328152943,11193.8962320435
"p17",17465.0594027004,20092.1882095819
"p17",17756.3237655923,32732.4969485624
"p17",17781.0168917904,1163.6398124972
"p17",18945.9029233104,8698.47262987898
"p17",19453.8855852265,12195.4928511748
"p17",19731.6205770786,10139.7110002654
"p17",20201.2858900121,4321.37712061582
"p17",20731.4618909943,3970.13790131207
"p17",22188.7328871935,14915.3007757302
"p17",22238.2499344693,7365.11067388369
"p17",22501.9342837872,14755.0705081329
"p17",25062.6163102187,5062.06568732055
"p17",25597.4133773693,6194.68672989891
"p17",25774.6747488849,2476.31521445327
"p17",30676.7487938659,13134.3693398221
"p17",35311.5605888182,7265.43733950379
"p17",39003.902179088,1981.32471915737
"p18",12875.0324912057,2999.23985650661
"p18",15135.6621050405,3208.48914882102
"p18",16216.6565071475,2999.23985650661
"p18",17756.3237655923,7428.90197889636
"p18",18945.9029233104,3945.16851507043
"p18",20731.4618909943,2732.15109873133
"p18",21650.633456713,3142.44581593806
"p18",22188.7328871935,3073.56151755487
"p18",22501.9342837872,2336.61709751096
"p18",23410.6607766783,2900.80240112215
"p18",25062.6163102187,2448.18453102151
"p18",25597.4133773693,6181.05900960043
"p18",25826.8762096713,2740.50507203901
"p18",26462.5645115026,3669.01014603497
"p18",26539.3623593754,7312.26847681969
"p18",27770.8107807832,4115.23608218348
"p18",28200.4061465827,2900.91799969389
"p18",29687.404805842,7202.40019948583
"p18",29792.1660866185,2574.76309331773
"p18",29974.7086594416,2399.5247651789
"p18",30676.7487938659,2706.56909754832
"p18",31397.4856276848,16360.3851376465
"p18",31634.8305508242,11055.3695788143
"p18",33602.7411826441,23817.5310540438
"p18",34220.8807598846,2113.01434545604
"p18",34466.1434073301,1990.08536821171
"p18",36276.096267792,13183.2277138776
"p18",38682.6087325057,8712.36454309388
"p18",39003.902179088,2155.86399000402
"p18",39570.6354559266,16277.9127829192
"p18",41264.1789728678,2267.32869411561
"p18",43575.2775875602,13145.8039257281
"p18",45635.8770932137,2908.99941049457
"p18",46402.1530989227,5752.23092907724
"p18",52804.3988744404,23832.2651454356
"p19",21650.633456713,8020.1370471587
"p19",22188.7328871935,6248.24630418178
"p19",22960.798785932,7553.8500095332
"p19",25597.4133773693,6994.30556438259
"p19",26539.3623593754,5369.82179206238
"p19",28200.4061465827,6491.87410682169
"p19",29687.404805842,6010.99454335341
"p19",30676.7487938659,5502.18704398097
"p19",34220.8807598846,4728.64904077135
"p19",39003.902179088,4728.64904077135
"p2",17465.0594027004,1943.64192796109
"p2",17756.3237655923,21915.3050743188
"p2",18872.8887883071,1521.24982825643
"p2",18945.9029233104,17105.4667115974
"p2",19453.8855852265,8694.66707311892
"p2",20731.4618909943,2692.75579744048
"p2",22188.7328871935,4979.75710702909
"p2",22238.2499344693,12291.3828617702
"p2",22960.798785932,449.083697616779
"p2",25062.6163102187,4692.39712037084
"p2",25538.4845745045,449.083697616779
"p2",25597.4133773693,7230.3225256024
"p2",25774.6747488849,7679.01142930695
"p2",26462.5645115026,2882.2774539626
"p2",28718.0619120455,2267.39159711725
"p2",29792.1660866185,1098.48914441675
"p2",29974.7086594416,2574.83452553993
"p2",30676.7487938659,6375.36899878881
"p2",31397.4856276848,1229.65202733218
"p2",36276.096267792,2882.2774539626
"p2",39003.902179088,975.584128990538
"p2",39570.6354559266,1924.83537656679
"p2",41264.1789728678,967.326261501316
"p2",46402.1530989227,1695.00428682747
"p2",70988.6211709944,4389.77193266133
"p20",21650.633456713,2175.03215516316
"p20",22188.7328871935,1694.50179530153
"p20",23410.6607766783,3756.15574910093
"p20",23438.8061887125,5189.84952891241
"p20",25062.6163102187,12622.2065990951
"p20",25538.4845745045,14077.2413183156
"p20",25597.4133773693,1896.83036787485
"p20",25826.8762096713,6375.09882917697
"p20",26462.5645115026,6892.49413147901
"p20",26539.3623593754,12224.80798621
"p20",28200.4061465827,2769.26704787827
"p20",28718.0619120455,2017.1204422817
"p20",29687.404805842,14396.0676193379
"p20",29792.1660866185,6791.29684957715
"p20",29974.7086594416,8571.80865112061
"p20",30676.7487938659,3207.78637761555
"p20",31397.4856276848,4488.11783430123
"p20",31634.8305508242,9595.30819155292
"p20",34220.8807598846,9263.92226557563
"p20",36276.096267792,4899.38390587066
"p20",38682.6087325057,3530.65269631697
"p20",39003.902179088,6099.8020716928
"p20",41264.1789728678,7384.83470226855
"p20",43575.2775875602,7384.83470226855
"p21",11935.7155269114,3518.09433593085
"p21",12875.0324912057,3735.26065296361
"p21",12881.9841507155,3995.86023340294
"p21",15135.6621050405,3995.86023340294
"p21",15329.6888721892,6514.98951098305
"p21",17242.5907850676,6257.25631288945
"p21",17756.3237655923,3995.86023340294
"p21",18945.9029233104,10879.5233649183
"p21",20201.2858900121,6257.25631288945
"p21",20385.8300308618,11179.6312790292
"p21",20955.0786304784,2562.56254098667
"p21",21650.633456713,3704.53612613837
"p21",22090.9825092712,4922.3749661397
"p21",22238.2499344693,6257.25631288945
"p21",23410.6607766783,18726.6997451191
"p21",23693.3065170073,2562.56254098667
"p21",24870.1429082851,4922.3749661397
"p21",25062.6163102187,2886.09209827059
"p21",25538.4845745045,2836.89212026851
"p21",26462.5645115026,11387.4907529552
"p21",26539.3623593754,16285.6018733074
"p21",27991.2894077498,2562.56254098667
"p21",28200.4061465827,9967.40381263246
"p21",29687.404805842,10542.5066979811
"p21",29792.1660866185,4697.73518087155
"p21",29974.7086594416,8244.64265983179
"p21",31397.4856276848,2960.1273904918
"p21",31634.8305508242,2298.5313940659
"p21",34220.8807598846,11799.5683093608
"p21",39003.902179088,2541.48408653679
"p21",41264.1789728678,2328.63354718688
"p22",34466.1434073301,2847.85918621832
"p22",35124.9031535329,8169.1492317076
"p22",46402.1530989227,7193.72842792161
"p22",52804.3988744404,4345.86924170329
"p23",35124.9031535329,8322.07201501336
"p23",38682.6087325057,9768.0452407819
"p23",39570.6354559266,4503.59069143748
"p23",41264.1789728678,1526.19505295839
"p23",46402.1530989227,1526.19505295839
"p23",52804.3988744404,5802.19672145636
"p24",25062.6163102187,3826.61190243878
"p24",25538.4845745045,5572.48582627402
"p24",26462.5645115026,16627.6905547629
"p24",26539.3623593754,3826.61190243878
"p24",28718.0619120455,4058.97115740947
"p24",29687.404805842,4283.52078631206
"p24",29792.1660866185,8267.76084104998
"p24",31634.8305508242,20242.0498642651
"p24",33602.7411826441,3203.7317339191
"p24",34466.1434073301,16344.5320677919
"p24",35124.9031535329,12604.4482021682
"p24",39003.902179088,3369.70301856549
"p24",39570.6354559266,5148.46746225968
"p24",41264.1789728678,15901.646504591
"p24",43575.2775875602,10101.7621182564
"p24",46402.1530989227,9063.96655104641
"p25",13437.3083327597,26346.9958642674
"p25",13836.4855997893,20980.01522525
"p25",14100.6878591239,10787.7514314436
"p25",14201.4852296955,23748.8665380044
"p25",14922.0389200649,1220.01219071067
"p25",14996.144345048,8801.19720659234
"p25",15135.6621050405,8409.286002523
"p25",15841.5176804637,15680.9565266339
"p25",16216.6565071475,19208.0716296497
"p25",16226.7837256534,10806.4594876751
"p25",16750.1328152943,7460.25521512811
"p25",17412.080541241,14622.8902622035
"p25",17465.0594027004,17440.8370868872
"p25",17581.9726739368,16132.2149065672
"p25",17756.3237655923,16000.803095171
"p25",17781.0168917904,5739.33954510985
"p25",18872.8887883071,2848.91243249646
"p25",18945.9029233104,7234.12697832336
"p25",19453.8855852265,4900.9929416304
"p25",19731.6205770786,12909.3628978083
"p25",19855.4437353446,41439.3535290084
"p25",20201.2858900121,23814.637616622
"p25",20731.4618909943,1298.0439472142
"p25",21100.7252319733,12207.1182343473
"p25",22090.9825092712,13822.362315535
"p25",22188.7328871935,3148.44211779208
"p25",22238.2499344693,4981.84834189039
"p25",22501.9342837872,5288.79444460245
"p25",23350.8379933315,17389.4599547951
"p25",23438.8061887125,6271.17211584702
"p25",25062.6163102187,3293.07361367548
"p25",25538.4845745045,5525.60028867149
"p25",25597.4133773693,3686.27643321882
"p25",25774.6747488849,945.488801057253
"p25",25826.8762096713,6993.54020830714
"p25",26462.5645115026,1809.03278849639
"p25",27770.8107807832,29839.5350524135
"p25",28200.4061465827,7182.19955589572
"p25",28718.0619120455,2601.71416973615
"p25",29687.404805842,9057.23914871809
"p25",29792.1660866185,12830.4314150384
"p25",29974.7086594416,7059.44481283383
"p25",30062.6970147449,945.488801057253
"p25",30676.7487938659,3816.40227979133
"p25",31634.8305508242,20455.7540337486
"p25",34220.8807598846,2331.60789473017
"p25",34466.1434073301,6869.34159207787
"p25",35311.5605888182,7021.50260422014
"p25",39003.902179088,7125.0281303249
"p25",41264.1789728678,4429.09801220965
"p25",43575.2775875602,6216.52602921188
"p26",20731.4618909943,1158.79010884612
"p26",21650.633456713,3089.45827731835
